"","Gamma","Cost","Error","Dispersion"
"i1",0.1,10,0.109941582369476,0.0369765253789778
"i2",2,10,0.0529068873658215,0.0385363320196783
"i3",0.5,10,0.090663456563781,0.0366264425739302
"i6",0.1,10,0.0683462564210604,0.0436384943637972
"i7",1.5,10,0.101338348925974,0.0413203815038999
"i8",2,1000,0.0345401953662724,0.0293553706058652
"i9",1,100,0.0741266478994014,0.0496323797557371
"i11",2,10,0.0867529484484188,0.0374199809499247
"i12",2,10,0.152303911546285,0.0748912811702623
"i18",1.5,100,0.0355742137604256,0.014646891259881
"i20",2,10,0.0787767712953788,0.0397672187008534
"ii1",0.5,10,0.0663335289498304,0.0256956860035275
"ii2",1,10,0.857088795753042,0.385714621396362
"ii3",1.5,10,0.0778553016838643,0.0335282185475487
"ii5",0.5,10,0.666441850849024,0.244601250000521
"ii7",2,10,0.048907161245704,0.0218203088623721
"ii9",1,100,0.115214639341538,0.079085630433759
"ii11",2,10,0.0389122427583692,0.0297419324170897
"ii12",1,10,0.113927197125872,0.0316227566974028
"ii13",2,10,0.137338505060555,0.0814989774835622
"ii14",0.1,100,0.0366278165893465,0.0301300250603632
"ii17",1.5,10,0.13369180274132,0.087335293566462
"ii18",0.1,100,0.22110701050365,0.136185444990674
"ii19",0.1,1000,0.107529698354795,0.150599580968814
"ii22",0.5,100,0.390078241658103,0.119290805064143
"ii23",0.5,1000,0.318352852726309,0.188431179709303
"ii28",0.1,10,0.532466472342914,0.162564756708807
"ii30",0.1,100,0.151336717832592,0.0688594225365113
"ii32",2,10,0.201502324839426,0.116528466087476
"iii1",2,10,0.136513300552816,0.0258570489823994
"iii2",2,10,1.06235395308036,0.462546696939105
"iii3",2,100,0.580805537271399,0.324441809909427
"iii4",1.5,100,0.0106076013614632,0.0119153091321307
"iii5",0.5,10,0.143897420132969,0.0425801726562451
"iii6",0.1,10,2.47894401465902,1.06667521637842
"iii7",1,10,0.205090152339456,0.0432161657295249
"iii8",0.5,10,0.149689492869348,0.0479093078288791
"iii10",0.5,10,0.0584879914352008,0.0717031036248546
"iii11",1.5,100,0.00928511945030295,0.008731863103
"iii12",2,100,0.0719562835889828,0.0378798415127367
"iii16",1.5,10,0.0493175005196012,0.0177237543882662
"iii17",0.1,1000,0.0254375825633379,0.020671619834161
"iii19",0.1,100,0.0453544040838088,0.0402544288807205
"iii20",0.1,1000,0.0479163920913885,0.0319891949571165
"iii22",0.1,100,0.281747530187635,0.139123336666532
"iii23",1,10,1.10007643271699,0.354022470013271
"iii25",2,10,0.429862000548068,0.261007868983783
"iii28",0.1,10,0.221220700800515,0.211212845817378
"iv3",0.1,1000,0.214151439357831,0.0431654258706572
"iv4",0.1,1000,0.208486135787897,0.202331819832526
"iv7",2,100,0.0481396125746171,0.0284539516707469
"iv11",0.5,100,0.0892743191471043,0.047756265524693
"iv14",0.5,100,0.0606736061046999,0.0348800333062625
"iv17",0.5,10,0.16932790000018,0.0673498880939283
"iv19",2,10,0.183910257858588,0.0408446593809177
"iv21",0.5,100,0.0229600197529694,0.0188421545633269
"iv28",2,100,0.218610021198564,0.14534440366977
"iv29",1,100,0.622184565003397,0.189239068779204
"iv31",0.1,100,0.890835751464033,0.164343251527719
