"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"142",620548.89194953,90526.5934889048,3008.3310546875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.673076146432407,0.459577875838239,0.226897381831554,0.310538985700384
"143",622565.851446896,90526.5934889048,2984.79345703125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.669648822451541,0.435750949796989,0.221759757658095,0.296820011858052
"144",624582.810944262,90526.5934889048,2612.81689453125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.668071204587069,0.418491433784714,0.218851000181993,0.287572176527635
"145",626599.770441627,90526.5934889048,2522.23046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.668345021441004,0.407764480810541,0.21813724499287,0.282663662939822
"146",628616.729938993,90526.5934889048,2553.66796875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.670471855155663,0.403551031698055,0.219606623806671,0.282018542048011
"255",618531.932452165,92542.2052136495,3013.73608398438,1,1,1,1,1,1,1,1,1,0,0,0,0,0.657559202861444,0.398963731591623,0.213882187256536,0.283276680973386
"256",620548.89194953,92542.2052136495,2540.36572265625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.652359116347596,0.369546534744942,0.206642923333558,0.265599142140718
"257",622565.851446896,92542.2052136495,2237.87158203125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.648960751141906,0.346549939794269,0.201565808545765,0.252297759964244
"258",624582.810944262,92542.2052136495,2714.52124023438,1,1,1,1,1,1,1,1,1,0,0,0,0,0.647364991762298,0.329896883372117,0.198592198250832,0.243171060755059
"259",626599.770441627,92542.2052136495,3058.3056640625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.64757319284035,0.319525753572371,0.197684711929578,0.238069757767553
"260",628616.729938993,92542.2052136495,3063.947265625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.649587687692612,0.315402321726382,0.198829200565046,0.236905853023286
"261",630633.689436358,92542.2052136495,3276.56787109375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.653411757420818,0.317527470410549,0.202035308564521,0.239657490562024
"262",632650.648933724,92542.2052136495,3382.66162109375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.659049057901022,0.325940645075182,0.207335681951929,0.246370165392115
"263",634667.60843109,92542.2052136495,3556.53686523438,1,1,1,1,1,1,1,1,1,0,0,0,0,0.666502519450122,0.340718931673508,0.214783814427125,0.257154468266539
"368",616514.972954799,94557.8169383943,2305.85961914062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.646222895078213,0.355888554469924,0.206443102157968,0.267431996013626
"369",618531.932452165,94557.8169383943,2198.830078125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.639375218431739,0.321457852173632,0.197263859077641,0.246128711577051
"370",620548.89194953,94557.8169383943,2311.14794921875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.634276347353193,0.293324015549175,0.190206463914381,0.229184456521262
"371",622565.851446896,94557.8169383943,1878.89196777344,4,1,1,1,1,1,1,1,1,0,0,0,0,0.630925729800002,0.27137109390591,0.185191130705298,0.216340500182431
"372",624582.810944262,94557.8169383943,2335.896484375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.629323183090681,0.255493224271866,0.18215644181931,0.207381149622667
"373",626599.770441627,94557.8169383943,2440.263671875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.6294698994924,0.245609682232057,0.181062607796815,0.20214623485204
"374",628616.729938993,94557.8169383943,2562.810546875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.631368955437862,0.241676090130178,0.181893381094876,0.200539047313976
"375",630633.689436358,94557.8169383943,2790.38110351562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.635025306151774,0.243691762348305,0.184656738083791,0.202530766225968
"376",632650.648933724,94557.8169383943,3055.24438476562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.640445260829505,0.251703146958987,0.18938438751099,0.208162055272329
"377",634667.60843109,94557.8169383943,3280.58813476562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.647635447134998,0.26580326809257,0.196130097540691,0.217542066523315
"378",636684.567928455,94557.8169383943,3319.28588867188,1,1,1,1,1,1,1,1,1,0,0,0,0,0.656601289811593,0.286127000745223,0.204966773322574,0.230844614599601
"379",638701.527425821,94557.8169383943,3109.69921875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.667345048475011,0.312841939746142,0.215982178246061,0.248300823622368
"380",640718.486923186,94557.8169383943,2861.54248046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.679863485291717,0.346134578078923,0.22927318946319,0.270187169848379
"481",614498.013457434,96573.428663139,3137.78515625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.638672865415538,0.328740099346807,0.203899487291946,0.261449425813023
"482",616514.972954799,96573.428663139,3374.85400390625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.630317566516669,0.289816807952441,0.192915262946153,0.23674574836302
"483",618531.932452165,96573.428663139,3045.88525390625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.62365401876938,0.257087263096285,0.184029664084758,0.216435176258767
"484",620548.89194953,96573.428663139,2938.0712890625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.618680593069245,0.230407235436488,0.177148609311626,0.200222169974024
"485",622565.851446896,96573.428663139,2368.82202148438,1,1,1,1,1,1,1,1,1,0,0,0,0,0.615395374709505,0.209633728849713,0.17219178687458,0.18784057649507
"486",624582.810944262,96573.428663139,1741.701171875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.613797558983717,0.194642304541972,0.169097031637015,0.179069567907977
"487",626599.770441627,96573.428663139,2475.0048828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.613888412694666,0.185340914913004,0.167823371988825,0.173744423970456
"488",628616.729938993,96573.428663139,2906.44848632812,1,1,1,1,1,1,1,1,1,0,0,0,0,0.615671772713385,0.181680248163674,0.168352893363029,0.171763423179109
"489",630633.689436358,96573.428663139,3139.275390625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.619154064597985,0.183660594032276,0.170691535289989,0.173091890062546
"490",632650.648933724,96573.428663139,3352.13159179688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.624343834425412,0.191335211312003,0.174868884148691,0.177764085743968
"491",634667.60843109,96573.428663139,3740.45947265625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.631250797342808,0.204810104656198,0.180936957993613,0.185883215375898
"492",636684.567928455,96573.428663139,3619.97998046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.639884418925981,0.224240018160002,0.188967916379169,0.197619390527477
"493",638701.527425821,96573.428663139,2815.81884765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.650252062103922,0.249820358699167,0.199050580003931,0.213204936671482
"494",640718.486923186,96573.428663139,2226.02319335938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.662356754549883,0.281774700897519,0.211285625327905,0.23292599621459
"495",642735.446420552,96573.428663139,2809.3603515625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.676194659461551,0.320337505829762,0.225779340853092,0.25710901914256
"496",644752.405917917,96573.428663139,2680.24951171875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.691752365361283,0.365731712997634,0.242635905461665,0.286100642567458
"594",612481.053960068,98589.0403878838,3340.8017578125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.634460879437322,0.315792393113825,0.205594284215194,0.263922379502846
"595",614498.013457434,98589.0403878838,3313.12548828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.624751674812832,0.272853932811989,0.192938156364422,0.236004924531708
"596",616514.972954799,98589.0403878838,3154.92407226562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.616672546944369,0.236012298081388,0.182359985748478,0.2125257707978
"597",618531.932452165,98589.0403878838,3585.6181640625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.61022173342402,0.205109577546993,0.173760421271293,0.193178763856298
"598",620548.89194953,98589.0403878838,2707.7353515625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.605396194631633,0.179978326966713,0.167048056043505,0.17766954081133
"599",622565.851446896,98589.0403878838,2806.23388671875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.60219326957141,0.160460341832444,0.162144722719237,0.165735035240038
"600",624582.810944262,98589.0403878838,1975.46923828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.600611971924663,0.146422307479089,0.158989500433914,0.157157289083089
"601",626599.770441627,98589.0403878838,2466.61791992188,1,1,1,1,1,1,1,1,1,0,0,0,0,0.600653889226578,0.137768304395002,0.1575415609393,0.151772792503726
"602",628616.729938993,98589.0403878838,2832.49584960938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.602323660046093,0.134449188921071,0.157781990699716,0.149478563085302
"603",630633.689436358,98589.0403878838,2416.41162109375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.60562901306241,0.136468893180487,0.159714700007087,0.150235937006829
"604",632650.648933724,98589.0403878838,3171.63256835938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.61058035943279,0.143887655774718,0.163366481372454,0.154072719461183
"605",634667.60843109,98589.0403878838,3563.5029296875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.61718993752185,0.156822098251192,0.168786218937326,0.161083984008614
"606",636684.567928455,98589.0403878838,3245.03491210938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.625470518702806,0.175441928496941,0.176043189218569,0.171431433058415
"607",638701.527425821,98589.0403878838,2780.69506835938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.635433696284749,0.199962927076532,0.185224341792577,0.18534083105798
"608",640718.486923186,98589.0403878838,2222.6962890625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.647087798124458,0.230635798712951,0.196430417513158,0.203096596664991
"609",642735.446420552,98589.0403878838,3157.703125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.660435487951816,0.267730462178127,0.209770762920355,0.225032213778616
"610",644752.405917917,98589.0403878838,2801.24560546875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.675471150478213,0.311515380626381,0.225356743585768,0.251514790810975
