"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"189",620428.675820548,90011.9692187572,3109.36328125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00422784578898903,0.00272319455270096,0.00273005323983937,0.00267898505995631
"190",621938.056106656,90011.9692187572,3029.03369140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00419182280553499,0.00259378754338426,0.00265424131315024,0.00257618073838498
"191",623447.436392764,90011.9692187572,2650.27221679688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00416912743495801,0.00249142609571044,0.00260173291297047,0.00249812562923616
"192",624956.816678872,90011.9692187572,2629.23828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0041597003944051,0.00241495691822671,0.00257203937149105,0.00244371951714486
"193",626466.19696498,90011.9692187572,2531.92700195312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00416352118787592,0.00236352376132791,0.00256486579854791,0.00241217858323753
"194",627975.577251089,90011.9692187572,2611.921875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00418060900370127,0.00233656464913777,0.00258011364413263,0.00240303472193408
"340",618919.29553444,91512.9566733543,2837.07373046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00407090322254039,0.00239224754216684,0.00253286128700922,0.00246618995070469
"341",620428.675820548,91512.9566733543,2885.52319335938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00402267573428375,0.00224754645804075,0.00243616079192644,0.00234451373422299
"342",621938.056106656,91512.9566733543,2828.84619140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0039874341562905,0.00212898193669611,0.00236220078103768,0.00224710319750308
"343",623447.436392764,91512.9566733543,2494.38232421875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00396507928647072,0.00203517395980416,0.00231029507126712,0.0021725607763355
"344",624956.816678872,91512.9566733543,2432.49731445312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00395555023998936,0.00196502925678674,0.00227994404637441,0.00211979522373294
"345",626466.19696498,91512.9566733543,2509.44384765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00395882633371966,0.00191773696910604,0.00227083950135445,0.002088020479659
"346",627975.577251089,91512.9566733543,2554.50610351562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00397492799588697,0.00189276571686551,0.00228286709225605,0.00207675390797927
"347",629484.957537197,91512.9566733543,2862.04248046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00400391670392853,0.0018898623032092,0.00231610665206416,0.00208581478274885
"348",630994.337823305,91512.9566733543,3034.59594726562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00404589394481568,0.00190905223830484,0.00237083048418706,0.002115323594917
"349",632503.718109413,91512.9566733543,3351.28125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00410099918346398,0.00195064220572117,0.00244749959445409,0.00216570241858567
"491",617409.915248332,93013.9441279515,3021.65185546875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0039458792356454,0.00213972115063831,0.00239610925393509,0.0023189373797405
"492",618919.29553444,93013.9441279515,2777.01440429688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00388623489356222,0.00198140246593868,0.00227985400273818,0.00217973892143425
"493",620428.675820548,93013.9441279515,2653.13305664062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.003839271194579,0.00184867175995616,0.0021860297096365,0.00206474057825172
"494",621938.056106656,93013.9441279515,2336.00805664062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00380485115573644,0.0017399485474515,0.00211377307748405,0.00197227985371961
"495",623447.436392764,93013.9441279515,2364.49926757812,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00378287426102164,0.00165393010141855,0.00206239628923886,0.0019009898275965
"496",624956.816678872,93013.9441279515,2684.9052734375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00377327919485226,0.00158958581833713,0.00203139395759332,0.00184979805634796
"497",626466.19696498,93013.9441279515,2930.24755859375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00377604566149206,0.00154615276404093,0.00202044758821154,0.00181792405945614
"498",627975.577251089,93013.9441279515,3135.74243164062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00379119530221858,0.00152313267072184,0.00202942795997987,0.00180487660551196
"499",629484.957537197,93013.9441279515,3215.4951171875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00381879171344614,0.00152029063741454,0.00205839569110413,0.00181045171328479
"500",630994.337823305,93013.9441279515,3437.3125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00385893955911895,0.00153765574588639,0.0021076001157863,0.00183473196231245
"501",632503.718109413,93013.9441279515,3241.75024414062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00391178276083389,0.00157552373902916,0.00217747644979597,0.00187808739057361
"502",634013.098395521,93013.9441279515,3318.33325195312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00397750174066844,0.00163446182747972,0.00226864108108278,0.00194117794604947
