"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"189",620428.675820548,90011.9692187572,3109.36328125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00498996379253635,0.00329258899889829,0.00353065992549952,0.00234164544632388
"190",621938.056106656,90011.9692187572,3029.03369140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00494856663436064,0.00313858548730318,0.0034346607248585,0.00225044913438132
"191",623447.436392764,90011.9692187572,2650.27221679688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00492247982861333,0.00301664450248829,0.00336811440975649,0.00218125514310331
"192",624956.816678872,90011.9692187572,2629.23828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00491164280568199,0.00292547495978179,0.00333046187320417,0.00213305037353761
"193",626466.19696498,90011.9692187572,2531.92700195312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00491603515727502,0.0028641181377178,0.00332136326710778,0.00210511411276916
"194",627975.577251089,90011.9692187572,2611.921875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00493567766169337,0.00283194562679982,0.00334070183592474,0.00209701658899922
"340",618919.29553444,91512.9566733543,2837.07373046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00480952746646167,0.00289838759792709,0.00328075962035697,0.00215295705666082
"341",620428.675820548,91512.9566733543,2885.52319335938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00475403831908513,0.00272565406207658,0.00315796959090525,0.00204520647390338
"342",621938.056106656,91512.9566733543,2828.84619140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00471347762862015,0.0025839385921603,0.0030639442429632,0.00195902231802584
"343",623447.436392764,91512.9566733543,2494.38232421875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00468774304863965,0.00247169243141174,0.0029978978006577,0.00189311924543753
"344",624956.816678872,91512.9566733543,2432.49731445312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00467677202396473,0.00238768808081365,0.0029592554357439,0.001846495258328
"345",626466.19696498,91512.9566733543,2509.44384765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00468054396106693,0.00233101545421528,0.00294766039112363,0.00181842954498124
"346",627975.577251089,91512.9566733543,2554.50610351562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00469908127042433,0.0023010792694177,0.00296297774079293,0.00180848005559888
"347",629484.957537197,91512.9566733543,2862.04248046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00473244928158467,0.00229759804124688,0.00300529507243226,0.00181648161733778
"348",630994.337823305,91512.9566733543,3034.59594726562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00478075502493733,0.0023206049159867,0.00307492022157958,0.00184254510982907
"349",632503.718109413,91512.9566733543,3351.28125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0048441448676697,0.00237045048975307,0.00317237602616002,0.00188705791882947
"491",617409.915248332,93013.9441279515,3021.65185546875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00466563674202437,0.0025967817013334,0.0031070641869219,0.00202257092109886
"492",618919.29553444,93013.9441279515,2777.01440429688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00459694339535693,0.00240730207673457,0.00295914076864437,0.00189946358873264
"493",620428.675820548,93013.9441279515,2653.13305664062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00454283218356855,0.00224819783285976,0.00283957714421722,0.00179787223692591
"494",621938.056106656,93013.9441279515,2336.00805664062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00450316103616126,0.002117692768501,0.00274738442789245,0.00171626872212605
"495",623447.436392764,93013.9441279515,2364.49926757812,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00447782571684896,0.00201432187445484,0.00268177103381775,0.00165339902351434
"496",624956.816678872,93013.9441279515,2684.9052734375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00446676298483918,0.00193692594491047,0.00264215281485074,0.00160828084521176
"497",626466.19696498,93013.9441279515,2930.24755859375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00446995269805555,0.00188464731346475,0.00262815977645549,0.00158020021338553
"498",627975.577251089,93013.9441279515,3135.74243164062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00448741886629103,0.00185692709739793,0.0026396398028873,0.00156870818062097
"499",629484.957537197,93013.9441279515,3215.4951171875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0045192296553767,0.00185350421743739,0.00267665969259748,0.00157361847742662
"500",630994.337823305,93013.9441279515,3437.3125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00456549633505624,0.00187441638151739,0.00273950364591283,0.00159500665601336
"501",632503.718109413,93013.9441279515,3241.75024414062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00462637115495128,0.00192000315719032,0.0028286691902239,0.00163321098034007
"502",634013.098395521,93013.9441279515,3318.33325195312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00470204412640688,0.00199091119629365,0.0029448603751449,0.00168883503154032
"503",635522.478681629,93013.9441279515,3486.91748046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00479273868478424,0.00208810161250316,0.00308897793112194,0.00176275171239192
"504",637031.858967737,93013.9441279515,2903.4384765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00489870620862428,0.00221285944350864,0.00326210596863241,0.00185610804481928
"642",615900.534962224,94514.9315825486,2427.4013671875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00455521629683903,0.00237506005094557,0.00300194087139019,0.00194256042710786
"643",617409.915248332,94514.9315825486,2238.0458984375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00447417848391024,0.00217014559260167,0.00283016692532348,0.00180471185442036
"644",618919.29553444,94514.9315825486,2231.02319335938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00440740776188235,0.0019953006253183,0.00268657705823795,0.00168864283106699
"645",620428.675820548,94514.9315825486,2324.55590820312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00435472672678461,0.001848549826451,0.00257001201901877,0.00159261389504658
"646",621938.056106656,94514.9315825486,1983.4248046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0043159925656423,0.00172821980990278,0.00247949141198808,0.00151514937474721
"647",623447.436392764,94514.9315825486,1945.3134765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00429110105384734,0.00163293254437622,0.00241422680840579,0.00145503576284923
"648",624956.816678872,94514.9315825486,2365.14599609375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00427998956032511,0.00156159973346044,0.00237363122845166,0.00141131804380798
"649",626466.19696498,94514.9315825486,2476.86840820312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00428263907460579,0.00151341853371651,0.00235732553819753,0.00138329534747133
"650",627975.577251089,94514.9315825486,2552.3173828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00429907526472175,0.00148786888829531,0.00236514219625647,0.00137051704008566
"651",629484.957537197,94514.9315825486,2614.48291015625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00432936856687479,0.00148471269999723,0.00239712665187721,0.00137278006891426
"652",630994.337823305,94514.9315825486,2874.74633789062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00437363329842748,0.00150399502383788,0.00245353654980024,0.00139012809386624
"653",632503.718109413,94514.9315825486,3029.8779296875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00443202577635333,0.00154604740862531,0.0025348387457469,0.00142285267965466
"654",634013.098395521,94514.9315825486,3229.81713867188,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00450474141525192,0.00161149345750838,0.00264170398783696,0.00147149657632866
"655",635522.478681629,94514.9315825486,3436.43994140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00459201077388953,0.00170125661418873,0.00277499898111787,0.00153685886782746
"656",637031.858967737,94514.9315825486,3244.44506835938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00469409451854087,0.00181657012102238,0.00293577543247841,0.00162000150125923
"657",638541.239253845,94514.9315825486,3110.57836914062,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00481127727682001,0.00195898903860784,0.00312525557967441,0.00172225641732299
"658",640050.619539953,94514.9315825486,2936.58984375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00494386036879133,0.00213040415071112,0.0033448136497063,0.00184523220089362
"793",614391.154676116,96015.9190371458,3105.16088867188,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00447519304734418,0.00222280314438782,0.00295853344303916,0.00190659002691902
"794",615900.534962224,96015.9190371458,3093.75146484375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0043826527459759,0.00200324895737034,0.00276395062061792,0.00175420715641945
"795",617409.915248332,96015.9190371458,2539.732421875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00430408766954556,0.00181373154001,0.00259753312258791,0.0016241033437018
"796",618919.29553444,96015.9190371458,2782.99072265625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00423929119056329,0.00165210334142814,0.00245799206047793,0.0015143628363821
"797",620428.675820548,96015.9190371458,2690.18994140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00418808705593669,0.0015165099880116,0.00234419449692055,0.00142332066347021
"798",621938.056106656,96015.9190371458,2511.48217773438,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00415033406492563,0.00140538289116657,0.0022551795827309,0.00134956310560379
"799",623447.436392764,96015.9190371458,1639.0732421875,13,1,1,1,1,1,1,1,1,0,0,0,0,0.00412592981921981,0.0013174326282906,0.00219017080714657,0.00129192488606168
"800",624956.816678872,96015.9190371458,2095.62548828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00411481356230054,0.00125164344054967,0.0021485849523943,0.00124948465496009
"801",626466.19696498,96015.9190371458,2384.9375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0041169681229454,0.00120726911287081,0.00213003827514106,0.00122156011073548
"802",627975.577251089,96015.9190371458,2649.0458984375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00413242097172514,0.00118383048085051,0.00213435033723833,0.0012077038061993
"803",629484.957537197,96015.9190371458,2735.13134765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00416124439083425,0.00118111479507993,0.00216154578601994,0.00120770039692528
"804",630994.337823305,96015.9190371458,3023.42724609375,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00420355474777614,0.00119917714189386,0.00221185424873732,0.00122156583465795
