"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"189",620428.675820548,90011.9692187572,3109.36328125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00423233762480418,0.00371258297297646,0.00372104520734872,0.00292261256400875
"190",621938.056106656,90011.9692187572,3029.03369140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00419628316264006,0.00354062884805928,0.00362010609359076,0.00281156735240644
"191",623447.436392764,90011.9692187572,2650.27221679688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00417356775936216,0.00340438698341745,0.00355012288960323,0.0027272125361917
"192",624956.816678872,90011.9692187572,2629.23828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0041641323527775,0.00330247370933064,0.00351052111590578,0.00266839300521384
"193",626466.19696498,90011.9692187572,2531.92700195312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0041679565401799,0.00323386108110206,0.0035009509796093,0.0026342849041791
"194",627975.577251089,90011.9692187572,2611.921875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00418505948183203,0.00319787574413707,0.00352129152407636,0.0026243956215372
"340",618919.29553444,91512.9566733543,2837.07373046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00407525511086036,0.00327218563685191,0.00345824066810341,0.00269268849382101
"341",620428.675820548,91512.9566733543,2885.52319335938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00402698320335473,0.0030789465200607,0.00332905568328607,0.00256109114044758
"342",621938.056106656,91512.9566733543,2828.84619140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00399170876768643,0.00292028210767103,0.00323010848599539,0.00245566845285194
"343",623447.436392764,91512.9566733543,2494.38232421875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00396933288508961,0.00279452853510283,0.00316059158155694,0.0023749517847895
"344",624956.816678872,91512.9566733543,2432.49731445312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00395979484220866,0.00270036601773278,0.00311991360534262,0.00231779268577745
"345",626466.19696498,91512.9566733543,2509.44384765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00396307403154683,0.00263681593019805,0.00310770701149526,0.0022833628472105
"346",627975.577251089,91512.9566733543,2554.50610351562,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00397919086801076,0.00260323881911413,0.00312383216040779,0.00227115313756898
"347",629484.957537197,91512.9566733543,2862.04248046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00400820672416916,0.00259933382985593,0.0031683780959154,0.00228097257928295
