"","Easting","Northing","Height","Population","i1_SVM","i6_SVM","i11_SVM","iv14_SVM","i1_MRF","i6_MRF","i11_MRF","iv14_MRF","i1_Change","i6_Change","i11_Change","iv14_Change","i1_Energy","i6_Energy","i11_Energy","iv14_Energy"
"189",620428.675820548,90011.9692187572,3109.36328125,1,1,1,1,1,1,2,1,1,0,1,0,0,0.00582176085740375,1.40421036387363,0.00249971192713183,0.00243919050797631
"190",621938.056106656,90011.9692187572,3029.03369140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0900757127521504,0.194202507687922,0.00242984073921454,0.00234461280023929
"191",623447.436392764,90011.9692187572,2650.27221679688,1,1,1,1,1,1,1,1,1,0,0,0,0,0.172307241447385,0.0777232230845605,0.0023814609226962,0.00227283946649149
"192",624956.816678872,90011.9692187572,2629.23828125,1,1,1,1,1,1,1,1,1,0,0,0,0,0.103848811981343,0.00309234955978878,0.00235410721601446,0.00222283054631751
"193",626466.19696498,90011.9692187572,2531.92700195312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0805454657612081,0.00302777686427226,0.00234749947528849,0.00219384594608948
"194",627975.577251089,90011.9692187572,2611.921875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00576001545241576,0.241911523269973,0.00236154487216619,0.241103052831033
"340",618919.29553444,91512.9566733543,2837.07373046875,1,1,1,1,1,1,1,1,1,0,0,0,0,0.0056164530379109,0.128912023500373,0.00231802205754093,0.00224348300240717
"341",620428.675820548,91512.9566733543,2885.52319335938,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00555326965589291,0.129672738666647,0.00222898383123417,0.00213168319390512
"342",621938.056106656,91512.9566733543,2828.84619140625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.145642738927607,0.00273279900908307,0.00216091179670399,0.00204223752885443
"343",623447.436392764,91512.9566733543,2494.38232421875,1,1,1,1,1,2,1,1,1,1,0,0,0,1.0491594327088,0.00261457024351211,0.00211315287816545,0.00197382619995304
"344",624956.816678872,91512.9566733543,2432.49731445312,1,1,1,1,1,1,1,1,1,0,0,0,0,0.146974380264786,0.00252606746371803,0.00208523226518481,0.00192541998208951
"345",626466.19696498,91512.9566733543,2509.44384765625,1,1,1,1,1,1,1,1,1,0,0,0,0,0.00546955080138797,0.258379797074433,0.00207685760126216,0.191285731955206
"346",627975.577251089,91512.9566733543,2554.50610351562,1,1,1,1,1,1,2,1,2,0,1,0,1,0.00549067064952569,1.37201251379452,0.0778008947081151,1.16110562338744
"347",629484.957537197,91512.9566733543,2862.04248046875,1,1,1,1,1,1,2,1,1,0,1,0,0,0.00552868115632929,1.27153183831268,0.204668761480069,0.312874456029114
"348",630994.337823305,91512.9566733543,3034.59594726562,1,1,1,1,1,1,1,2,1,0,0,1,0,0.00558369366274208,0.394190060613058,1.35457333501045,0.198590410191104
