"","Iteration","Energy","Temperature","Phenomena"
"NA",0,2133.85379295308,2,"i1"
"2",2,2136.1521893362,2,"i1"
"3",3,2136.1521893362,2,"i1"
"4",4,2136.1521893362,2,"i1"
"5",7,2136.52235068698,2,"i1"
"6",8,2136.52235068698,2,"i1"
"7",10,2141.47198915692,2,"i1"
"8",12,2144.4689708777,2,"i1"
"9",15,2153.80741745751,2,"i1"
"10",19,2153.80741745751,2,"i1"
"11",20,2153.80741745751,2,"i1"
"12",21,2153.80741745751,2,"i1"
"13",23,2153.80741745751,2,"i1"
"14",24,2153.80741745751,2,"i1"
"15",25,2156.87658786265,2,"i1"
"16",26,2156.87658786265,2,"i1"
"17",27,2156.87658786265,2,"i1"
"18",29,2156.87658786265,2,"i1"
"19",30,2156.87658786265,2,"i1"
"20",39,2156.87658786265,2,"i1"
"21",41,2160.15882581523,2,"i1"
"22",43,2160.15882581523,2,"i1"
"23",45,2162.79346262936,2,"i1"
"24",48,2164.00741311205,2,"i1"
"25",53,2168.86854106564,2,"i1"
"26",54,2172.03948618781,2,"i1"
"27",55,2172.03948618781,2,"i1"
"28",57,2215.19988979885,2,"i1"
"29",62,2215.19988979885,2,"i1"
"30",64,2215.19988979885,2,"i1"
"31",65,2221.13097177623,2,"i1"
"32",69,2222.48312405393,2,"i1"
"33",70,2222.48312405393,2,"i1"
"34",71,2222.48312405393,2,"i1"
"35",73,2225.49544039363,2,"i1"
"36",77,2225.49544039363,2,"i1"
"37",79,2228.52524462533,2,"i1"
"38",83,2231.30267430125,2,"i1"
"39",84,2231.30267430125,2,"i1"
"40",85,2231.30267430125,2,"i1"
"41",86,2231.30267430125,2,"i1"
"42",87,2235.55288320178,2,"i1"
"43",88,2235.55288320178,2,"i1"
"44",89,2238.66444671547,2,"i1"
"45",90,2238.66444671547,2,"i1"
"46",91,2238.66444671547,2,"i1"
"47",92,2238.66444671547,2,"i1"
"48",93,2238.66444671547,2,"i1"
"49",95,2242.55512770622,2,"i1"
"50",99,2242.55512770622,2,"i1"
"51",100,2242.55512770622,2,"i1"
"52",101,2242.55512770622,1.96,"i1"
"53",102,2245.63052620414,1.96,"i1"
"54",103,2247.9382581091,1.96,"i1"
"55",107,2247.9382581091,1.96,"i1"
"56",109,2247.9382581091,1.96,"i1"
"57",111,2247.9382581091,1.96,"i1"
"58",112,2247.9382581091,1.96,"i1"
"59",113,2247.9382581091,1.96,"i1"
"60",114,2247.92892114689,1.96,"i1"
"61",115,2248.71123203112,1.96,"i1"
"62",118,2288.26939116848,1.96,"i1"
"63",119,2292.03387749144,1.96,"i1"
"64",122,2292.03387749144,1.96,"i1"
"65",124,2295.42810781104,1.96,"i1"
"66",125,2297.93901532417,1.96,"i1"
"67",133,2297.93901532417,1.96,"i1"
"68",135,2297.93901532417,1.96,"i1"
"69",136,2301.38851831975,1.96,"i1"
"70",139,2301.38851831975,1.96,"i1"
"71",140,2304.23870552464,1.96,"i1"
"72",143,2304.23870552464,1.96,"i1"
"73",144,2304.23870552464,1.96,"i1"
"74",145,2304.23870552464,1.96,"i1"
"75",149,2304.23870552464,1.96,"i1"
"76",151,2304.23870552464,1.96,"i1"
"77",152,2304.23870552464,1.96,"i1"
"78",153,2330.049023301,1.96,"i1"
"79",154,2330.049023301,1.96,"i1"
"80",155,2330.049023301,1.96,"i1"
"81",156,2330.049023301,1.96,"i1"
"82",158,2331.78704130783,1.96,"i1"
"83",159,2331.78704130783,1.96,"i1"
"84",161,2331.78704130783,1.96,"i1"
"85",162,2331.78704130783,1.96,"i1"
"86",163,2331.78704130783,1.96,"i1"
"87",168,2331.78704130783,1.96,"i1"
"88",169,2331.78704130783,1.96,"i1"
"89",170,2331.78704130783,1.96,"i1"
"90",174,2331.78704130783,1.96,"i1"
"91",176,2331.78704130783,1.96,"i1"
"92",178,2331.78704130783,1.96,"i1"
"93",181,2331.78704130783,1.96,"i1"
"94",182,2331.78704130783,1.96,"i1"
"95",184,2331.78704130783,1.96,"i1"
"96",185,2335.44615068957,1.96,"i1"
"97",187,2335.44615068957,1.96,"i1"
"98",188,2335.44615068957,1.96,"i1"
"99",190,2341.83292427544,1.96,"i1"
"100",193,2343.45968910596,1.96,"i1"
"101",197,2343.45968910596,1.96,"i1"
"102",198,2346.74190650517,1.96,"i1"
"103",199,2346.74190650517,1.96,"i1"
"104",200,2346.74190650517,1.96,"i1"
"105",0,1194.44223256031,2,"i6"
"106",1,1196.18910004098,2,"i6"
"107",2,1200.94198945512,2,"i6"
"108",3,1205.76907117408,2,"i6"
"109",4,1206.72849950364,2,"i6"
"110",5,1213.99607539063,2,"i6"
"111",7,1286.75622758056,2,"i6"
"112",10,1288.89178060949,2,"i6"
"113",11,1288.89178060949,2,"i6"
"114",12,1291.50819487516,2,"i6"
"115",15,1291.50819487516,2,"i6"
"116",19,1291.50819487516,2,"i6"
"117",21,1291.50819487516,2,"i6"
"118",22,1291.50819487516,2,"i6"
"119",26,1294.95802902631,2,"i6"
"120",27,1298.6396343503,2,"i6"
"121",28,1300.28303324683,2,"i6"
"122",30,1309.68579504938,2,"i6"
"123",31,1309.68579504938,2,"i6"
"124",40,1313.21184226979,2,"i6"
"125",41,1324.60910237414,2,"i6"
"126",43,1324.60910237414,2,"i6"
"127",44,1324.84282323293,2,"i6"
"128",47,1330.17357457236,2,"i6"
"129",48,1330.17357457236,2,"i6"
"130",49,1331.82462763189,2,"i6"
"131",57,1332.5675671897,2,"i6"
"132",61,1343.9521313702,2,"i6"
"133",66,1346.02921096586,2,"i6"
"134",67,1346.02921096586,2,"i6"
"135",79,1346.02921096586,2,"i6"
"136",82,1350.72725976306,2,"i6"
"137",93,1350.72725976306,2,"i6"
"138",94,1402.68188586358,2,"i6"
"139",97,1408.49975551635,2,"i6"
"140",100,1408.49975551635,2,"i6"
"141",109,1408.49975551635,1.96,"i6"
"142",110,1411.56163301678,1.96,"i6"
"143",114,1411.56163301678,1.96,"i6"
"144",133,1415.87126826508,1.96,"i6"
"145",135,1415.87126826508,1.96,"i6"
"146",137,1423.52934805639,1.96,"i6"
"147",140,1429.11291924047,1.96,"i6"
"148",142,1439.10705486857,1.96,"i6"
"149",143,1442.47557754943,1.96,"i6"
"150",153,1448.5213416771,1.96,"i6"
"151",155,1450.12339389535,1.96,"i6"
"152",161,1450.19124986593,1.96,"i6"
"153",163,1450.19124986593,1.96,"i6"
"154",164,1453.68596668771,1.96,"i6"
"155",168,1453.68596668771,1.96,"i6"
"156",172,1454.42118405435,1.96,"i6"
"157",178,1459.26956343426,1.96,"i6"
"158",183,1459.26956343426,1.96,"i6"
"159",190,1462.79660949859,1.96,"i6"
"160",191,1481.51265451827,1.96,"i6"
"161",193,1484.9238838687,1.96,"i6"
"162",199,1484.9238838687,1.96,"i6"
"163",200,1488.28199897691,1.96,"i6"
"164",0,1792.56429577222,2,"i11"
"165",3,1796.09680618934,2,"i11"
"166",4,1796.09680618934,2,"i11"
"167",5,1796.09680618934,2,"i11"
"168",8,1800.35791519489,2,"i11"
"169",10,1806.18673182515,2,"i11"
"170",12,1806.04348281763,2,"i11"
"171",13,1807.1700038358,2,"i11"
"172",16,1808.79992590872,2,"i11"
"173",22,1808.79992590872,2,"i11"
"174",23,1808.79992590872,2,"i11"
"175",27,1808.79992590872,2,"i11"
"176",28,1811.35065048674,2,"i11"
"177",29,1811.35065048674,2,"i11"
"178",30,1815.6250974826,2,"i11"
"179",32,1815.6250974826,2,"i11"
"180",33,1815.6250974826,2,"i11"
"181",39,1825.87380137527,2,"i11"
"182",43,1825.87380137527,2,"i11"
"183",44,1825.87380137527,2,"i11"
"184",45,1825.87380137527,2,"i11"
"185",49,1825.87380137527,2,"i11"
"186",52,1829.47510792275,2,"i11"
"187",54,1832.43559586679,2,"i11"
"188",56,1832.43559586679,2,"i11"
"189",57,1832.43559586679,2,"i11"
"190",59,1832.43559586679,2,"i11"
"191",60,1835.8844089383,2,"i11"
"192",62,1836.95339361426,2,"i11"
"193",64,1839.6221859116,2,"i11"
"194",66,1842.21197135226,2,"i11"
"195",72,1864.44872544244,2,"i11"
"196",75,1867.63742501173,2,"i11"
"197",76,1867.63742501173,2,"i11"
"198",78,1867.63742501173,2,"i11"
"199",80,1868.22293841062,2,"i11"
"200",81,1873.4609815138,2,"i11"
"201",82,1876.73043153968,2,"i11"
"202",84,1876.73043153968,2,"i11"
"203",85,1876.73043153968,2,"i11"
"204",86,1877.93258370557,2,"i11"
"205",87,1877.93258370557,2,"i11"
"206",88,1877.93258370557,2,"i11"
"207",90,1877.93258370557,2,"i11"
"208",91,1880.81630057093,2,"i11"
"209",94,1880.81630057093,2,"i11"
"210",95,1882.36630050559,2,"i11"
"211",98,1889.54855253367,2,"i11"
"212",101,1889.54855253367,1.96,"i11"
"213",103,1892.83998480663,1.96,"i11"
"214",104,1892.83998480663,1.96,"i11"
"215",105,1897.4772177076,1.96,"i11"
"216",109,1897.4772177076,1.96,"i11"
"217",114,1897.4772177076,1.96,"i11"
"218",115,1897.4772177076,1.96,"i11"
"219",116,1898.86129500891,1.96,"i11"
"220",118,1898.86129500891,1.96,"i11"
"221",120,1906.83134746939,1.96,"i11"
"222",123,1906.83134746939,1.96,"i11"
"223",127,1911.43852129073,1.96,"i11"
"224",128,1911.43852129073,1.96,"i11"
"225",129,1911.43852129073,1.96,"i11"
"226",134,1916.26104387674,1.96,"i11"
"227",139,1919.05992231321,1.96,"i11"
"228",140,1919.05992231321,1.96,"i11"
"229",143,1919.05992231321,1.96,"i11"
"230",148,1919.05992231321,1.96,"i11"
"231",149,1926.01825898967,1.96,"i11"
"232",150,1926.01825898967,1.96,"i11"
"233",152,1926.01825898967,1.96,"i11"
"234",153,1926.01825898967,1.96,"i11"
"235",154,1926.01825898967,1.96,"i11"
"236",156,1926.01825898967,1.96,"i11"
"237",159,1926.01825898967,1.96,"i11"
"238",160,1926.01825898967,1.96,"i11"
"239",164,1927.69720881522,1.96,"i11"
"240",168,1927.69720881522,1.96,"i11"
"241",169,1932.21009522056,1.96,"i11"
"242",170,1936.87141577887,1.96,"i11"
"243",173,1936.87141577887,1.96,"i11"
"244",174,1936.87141577887,1.96,"i11"
"245",179,1936.87141577887,1.96,"i11"
"246",180,1940.18867759948,1.96,"i11"
"247",182,1940.18867759948,1.96,"i11"
"248",184,1940.18867759948,1.96,"i11"
"249",186,1940.18867759948,1.96,"i11"
"250",188,1942.97813536951,1.96,"i11"
"251",191,1942.97813536951,1.96,"i11"
"252",192,1942.97813536951,1.96,"i11"
"253",194,1949.33149961499,1.96,"i11"
"254",195,1951.73043435968,1.96,"i11"
"255",200,1951.73043435968,1.96,"i11"
"256",0,1533.77235176702,2,"iv14"
"257",3,1536.49492196555,2,"iv14"
"258",4,1538.86762659336,2,"iv14"
"259",6,1543.93583100023,2,"iv14"
"260",9,1543.93583100023,2,"iv14"
"261",12,1547.05467678209,2,"iv14"
"262",13,1547.05467678209,2,"iv14"
"263",14,1547.05467678209,2,"iv14"
"264",16,1547.42655835902,2,"iv14"
"265",17,1552.24544492652,2,"iv14"
"266",21,1570.28199796809,2,"iv14"
"267",28,1574.58084272859,2,"iv14"
"268",30,1578.60617901651,2,"iv14"
"269",31,1580.70065916929,2,"iv14"
"270",32,1580.70065916929,2,"iv14"
"271",34,1584.00745203924,2,"iv14"
"272",39,1584.00745203924,2,"iv14"
"273",48,1584.00745203924,2,"iv14"
"274",50,1584.00745203924,2,"iv14"
"275",51,1587.215531873,2,"iv14"
"276",57,1587.215531873,2,"iv14"
"277",59,1606.3922186546,2,"iv14"
"278",60,1607.26349212762,2,"iv14"
"279",63,1607.26349212762,2,"iv14"
"280",65,1611.03770780869,2,"iv14"
"281",70,1626.99628198559,2,"iv14"
"282",75,1626.99628198559,2,"iv14"
"283",81,1626.99628198559,2,"iv14"
"284",82,1626.99628198559,2,"iv14"
"285",83,1630.34606002932,2,"iv14"
"286",86,1630.34606002932,2,"iv14"
"287",89,1633.32252838404,2,"iv14"
"288",90,1636.27169657528,2,"iv14"
"289",92,1636.27169657528,2,"iv14"
"290",93,1636.27169657528,2,"iv14"
"291",100,1620.18088010303,2,"iv14"
"292",104,1620.18088010303,1.96,"iv14"
"293",106,1619.82975940702,1.96,"iv14"
"294",109,1619.82975940702,1.96,"iv14"
"295",110,1626.59300747081,1.96,"iv14"
"296",112,1628.71405472094,1.96,"iv14"
"297",114,1632.44155151939,1.96,"iv14"
"298",115,1633.83763720186,1.96,"iv14"
"299",119,1639.4949492237,1.96,"iv14"
"300",120,1643.16160231587,1.96,"iv14"
"301",121,1643.54359703517,1.96,"iv14"
"302",123,1643.54359703517,1.96,"iv14"
"303",125,1647.28515029764,1.96,"iv14"
"304",126,1650.55922756414,1.96,"iv14"
"305",132,1650.55922756414,1.96,"iv14"
"306",136,1650.55922756414,1.96,"iv14"
"307",138,1650.55922756414,1.96,"iv14"
"308",139,1656.31528294955,1.96,"iv14"
"309",140,1678.86588575916,1.96,"iv14"
"310",142,1678.86588575916,1.96,"iv14"
"311",151,1682.48225720668,1.96,"iv14"
"312",152,1682.48225720668,1.96,"iv14"
"313",153,1682.48225720668,1.96,"iv14"
"314",158,1688.55217876115,1.96,"iv14"
"315",160,1688.55217876115,1.96,"iv14"
"316",162,1700.18500658047,1.96,"iv14"
"317",170,1701.48662865274,1.96,"iv14"
"318",171,1701.48662865274,1.96,"iv14"
"319",172,1701.48662865274,1.96,"iv14"
"320",177,1704.99392957132,1.96,"iv14"
"321",185,1707.56217911913,1.96,"iv14"
"322",191,1711.7436742932,1.96,"iv14"
"323",200,1711.7436742932,1.96,"iv14"
